block,plot,transect,subtransect,date,species,cover_start_m,cover_end_m,avg_height_cm,cover_length,species_name,condition,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,7.5,9,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,DWD,9,9.25,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,9.25,16.5,0,7.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,G,16.5,17.25,0,0.75,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,17.25,19.5,25,2.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,19.5,21,0,1.5,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,G,21,22,25,1,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,22,24,0,2,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,24,24.25,50,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,24.25,25,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,25,25.25,50,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,25.25,26,25,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,26,26.5,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,CECO,26.5,27,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,27,27.25,0,0.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,L,27.25,28.75,0,1.5,Litter,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,28.75,30,0,1.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,0,1.75,0,1.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,F,1.75,2.5,25,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,2.5,4.5,0,2,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,F,4.5,5.25,0,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,L,5.25,6.5,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,G,6.5,7.25,0,0.75,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,F,7.25,9.25,25,2,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,L,9.25,10,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,F,10,10.75,25,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,10.75,11.5,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,F,11.5,11.75,0,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,11.75,12.5,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,CECO,12.5,12.75,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,CECO,12.75,13.25,0,0.5,Ceanothus cordulatus,DEAD,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,DWD,13.25,14,0,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,14,15.75,0,1.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,CECO,15.75,16,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,DWD,16,17.75,50,1.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,17.75,23.25,0,5.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,DWD,23.25,24.75,25,1.5,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,CECO,24.75,25.25,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,DWD,25.25,26,0,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,G,26,27,0,1,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,27,27.5,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,CEPR,27.5,27.75,0,0.25,Ceanothus prostratus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,27.75,28.25,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,G,28.25,28.5,0,0.25,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,BG,28.5,30,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,0,0.5,0,0.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,0.5,0.75,0,0.25,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,0.75,1.25,0,0.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,DWD,1.25,1.5,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,1.5,4.5,0,3,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,4.5,4.75,0,0.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,4.75,6,0,1.25,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,6,6.5,0,0.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,6.5,7,0,0.5,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,7,9.5,0,2.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,9.5,10.5,0,1,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,10.5,10.75,0,0.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,CECO,10.75,11.75,0,1,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,11.75,13.25,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,CECO,13.25,14.25,25,1,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,14.25,16.25,0,2,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,16.25,16.5,0,0.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,16.5,19,0,2.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,19,19.5,25,0.5,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,DWD,19.5,19.75,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,CECO,19.75,21,50,1.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,21,24.75,0,3.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,CECO,24.75,25.25,75,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,POAZ,25.25,26.5,25,1.25,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,BG,26.5,28,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,CECO,28,28.25,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,L,28.25,30,0,1.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,0,1.25,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,1.25,1.75,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,DWD,1.75,2,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,2,2.25,25,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,2.25,3,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,DWD,3,3.25,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,3.25,4,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,4,5,25,1,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,5,6.25,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,POAZ,6.25,6.75,25,0.5,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,6.75,7.25,0,0.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,7.25,7.75,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,7.75,8.5,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,8.5,10.5,25,2,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,10.5,15.25,0,4.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,15.25,15.5,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,15.5,16.25,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,POAZ,16.25,16.5,0,0.25,Poaceae spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,16.5,17,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,17,17.25,50,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,17.25,18.75,0,1.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,18.75,19.25,25,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,19.25,20.5,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,20.5,21,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,L,21,21.5,0,0.5,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,21.5,21.75,25,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,BG,21.75,23.25,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,DWD,23.25,23.75,50,0.5,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,DWD,23.75,24.5,0,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,F,24.5,25,50,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,CECO,25,25.5,25,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,F,25.5,26.25,25,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,SAL,26.25,30,200,3.75,Salix spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,SAL,0,3,200,3,Salix spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,3,3.75,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,BG,3.75,4.25,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,4.25,4.75,25,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,BG,4.75,6.25,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,6.25,7.25,25,1,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,7.25,8,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,8,9.75,25,1.75,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,DWD,9.75,10.5,0,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,F,10.5,11.75,50,1.25,Forb,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,11.75,12.25,25,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,F,12.25,13.75,50,1.5,Forb,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,13.75,14.5,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,BG,14.5,15.5,0,1,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,15.5,16.75,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,16.75,17,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,17,17.75,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,17.75,18.5,25,0.75,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,18.5,19.75,0,1.25,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,BG,19.75,20.25,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,20.25,21.25,0,1,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,CECO,21.25,23.25,25,2,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,DWD,23.25,23.5,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,23.5,24.25,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,SAL,24.25,26.5,0,2.25,Salix spp,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,RUPA,26.5,27.5,50,1,Rubus parviflorus,LIVE,
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,L,27.5,30,0,2.5,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,0,1,0,1,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,1,2.75,0,1.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,DWD,2.75,3.5,0,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,L,3.5,4.25,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,G,4.25,5,0,0.75,Grass,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,5,6.25,0,1.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,6.25,6.75,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,6.75,8.75,0,2,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,8.75,11.25,0,2.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,L,11.25,12.75,0,1.5,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,12.75,16,0,3.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,16,16.5,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,16.5,17.5,0,1,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,17.5,18,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,18,19,0,1,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,G,19,20,0,1,Grass,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,BG,20,24,0,4,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,CECO,24,24.75,25,0.75,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,G,24.75,30,25,5.25,Grass,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,L,0,1,0,1,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,G,1,6,25,5,Grass,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,L,6,6.75,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,BG,6.75,7.5,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,L,7.5,8.25,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,BG,8.25,11,0,2.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,F,11,13.5,25,2.5,Forb,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,BG,13.5,15.25,0,1.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,F,15.25,15.75,25,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,BG,15.75,24.75,0,9,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,CECO,24.75,25.25,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,L,25.25,26,0,0.75,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,DWD,26,26.75,50,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,F,26.75,30,25,3.25,Forb,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,BG,0,0.75,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,CICO,0.75,1.5,25,0.75,Cirsium occidentale,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,BG,1.5,1.75,0,0.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,L,1.75,2,0,0.25,Litter,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,BG,2,2.75,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,CICO,2.75,3,50,0.25,Cirsium occidentale,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,BG,3,3.25,0,0.25,Bare ground,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,DWD,3.25,3.75,0,0.5,Down woody debris,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,CICO,3.75,5.75,50,2,Cirsium occidentale,LIVE,
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,BG,5.75,6,0,0.25,Bare ground,LIVE,
