"block","plot","transect","subtransect","date","species","cover_start_m","cover_end_m","avg_height_m","cover_length","species_name"
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27","POAZ",30,28,0.25,2,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27","CECO",28,4.5,1.25,23.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27","SALIX",4.5,1.25,2.5,3.25,"Salix spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:3","2017-06-27","CECO",1.25,-0.25,1,1.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:1","2017-06-27","CECO",30,0,1,30,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:2","2017-06-27","CECO",30,0,1.25,30,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","CECO",30,23.5,1,6.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","POAZ",23.5,22.75,0.25,0.75,"Poaceae spp"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","CECO",22.75,11,1,11.75,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","DWD",11,10.75,0,0.25,"Down woody debris"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","CECO",10.75,0.25,0.75,10.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:S","E1:CG:S:3","2017-06-27","POAZ",0.25,0,0,0.25,"Poaceae spp"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","CECO",26.75,30,0.75,3.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","DWD",24.5,26.75,0,2.25,"Down woody debris"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","CECO",21.5,24.5,0.5,3,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","DWD",19.75,21.5,0,1.75,"Down woody debris"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","CECO",15,19.75,0.75,4.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","BG",13.75,15,0,1.25,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","CECO",10.75,13.75,0.5,3,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","DWD",10,10.75,0,0.75,"Down woody debris"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","BG",8.75,10,0,1.25,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","DWD",7.75,8.75,0,1,"Down woody debris"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","BG",5.5,7.75,0,2.25,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:1","2017-06-29","CECO",0,5.5,0.5,5.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","CECO",0,7,0.75,7,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","POAZ",7,11,0,4,"Poaceae spp"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","CECO",11,20.75,0.75,9.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","BG",20.75,22.75,0,2,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","CECO",22.75,29,0.75,6.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:2","2017-06-29","BG",29,30,0,1,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","CECO",30,26,1,4,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","BG",26,22,0,4,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","CECO",22,13.25,1,8.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","DWD",13.25,12.75,0.25,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","CECO",12.75,9.5,0.5,3.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","BG",9.5,6.5,0,3,"Bare ground"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","CECO",6.5,5.5,0.5,1,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","ARPA",5.5,5,0.5,0.5,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:M","E1:CH:M:3","2017-06-29","CECO",5,0,0.5,5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",30,25,0.5,5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","BG",25,23.5,0,1.5,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",23.5,21.5,0.5,2,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","ARPA",21.5,20.75,0.75,0.75,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",20.75,20,0.5,0.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","BG",20,19.25,0,0.75,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",19.5,14.5,0.5,5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","ARPA",14.5,13.25,1,1.25,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",13.25,13,0.5,0.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","BG",13,12.5,0,0.5,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",12.5,2.25,0.5,10.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","DWD",2.25,1.75,0.75,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:N","E1:CH:N:1","2017-06-29","CECO",1.75,0,0.5,1.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","CECO",0,10,0.75,10,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","BG",10,10.75,0,0.75,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","CECO",10.75,16.5,0.75,5.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","BG",16.5,17.5,0,1,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","CECO",17.5,20.75,1,3.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","BG",20.75,25.5,0,4.75,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:2","2017-06-29","CECO",25.5,30,0.75,4.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",30,21.5,1,8.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","BG",21.5,18.25,0,3.25,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",18.25,17.25,0.25,1,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","ARPA",17.25,16.25,0.75,1,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",16.25,15,0.5,1.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","ARPA",15,14.5,0.75,0.5,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",14.5,13.75,0.5,0.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","DWD",13.75,13.25,0.5,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","ARPA",13.25,12.5,0.5,0.75,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","BG",12.5,12,0,0.5,"Bare ground"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","DWD",12,11.5,0.75,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",11.5,9.75,0.5,1.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","ARPA",9.75,8.5,0.75,1.25,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",8.5,6.75,0.5,1.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","DWD",6.75,6,0.25,0.75,"Down woody debris"
"E1","E1:CH","E1:CH:N","E1:CH:N:3","2017-06-29","CECO",6,0,0.5,6,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",0,1.5,0.5,1.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","ARPA",1.5,2,0.5,0.5,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",2,6.25,0.5,4.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","DWD",6.25,6.75,0,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",6.75,8.25,0,1.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","ARPA",8.25,8.75,0.5,0.5,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",8.75,9,0,0.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",9,11.5,0.5,2.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",11.5,11.75,0,0.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",11.75,13.25,0,1.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","ARPA",13.25,14,0.5,0.75,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",14,15,0,1,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","DWD",15,15.25,0,0.25,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",15.25,16.25,0,1,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",16.25,17,0.25,0.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",17,18.25,0,1.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",18.25,21.25,0.75,3,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",21.25,21.5,0,0.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","DWD",21.5,22,0.25,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",22,24.75,0.75,2.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","POAZ",24.75,26.75,0,2,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:1","2017-06-29","CECO",26.75,30,0.5,3.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",0,1.25,0.5,1.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","BG",1.25,3,0,1.75,"Bare ground"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",3,13,0.5,10,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","ARPA",13,14.25,0.75,1.25,"Arctostaphylos patula"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","POAZ",14.25,14.75,0,0.5,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",14.75,17,0.25,2.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","POAZ",17,18.25,0,1.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","DWD",18.25,18.5,0.25,0.25,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","POAZ",18.5,20.75,0,2.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",20.75,21.75,0.5,1,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","SYMO",21.75,22,0,0.25,"Symphoricarpos mollis"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",22,22.5,0.25,0.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","POAZ",22.5,23.25,0,0.75,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","ROCK",23.25,24,0.25,0.75,"Rock"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","BG",24,24.5,0,0.5,"Bare ground"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","DWD",24.5,25,0.25,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",25,26,0.25,1,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","DWD",26,26.5,0,0.5,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","CECO",26.5,26.75,0.25,0.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","ROCK",26.75,27.75,0.5,1,"Rock"
"E1","E1:CH","E1:CH:S","E1:CH:S:2","2017-06-29","POAZ",27.75,30,0,2.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",0,0.5,0,0.5,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","DWD",0.5,2,0.25,1.5,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",2,4.25,0.5,2.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",4.25,5.25,0,1,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",5.25,7.5,0.25,2.25,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","ROCK",7.5,7.75,0,0.25,"Rock"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","DWD",7.75,8.5,0,0.75,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","ROCK",8.5,8.75,0,0.25,"Rock"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",8.75,14.5,1,5.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","DWD",14.5,14.75,0,0.25,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",14.75,15.25,0,0.5,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","DWD",15.25,15.5,0,0.25,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","BG",15.5,16,0,0.5,"Bare ground"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","DWD",16,17,0,1,"Down woody debris"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",17,17.25,0,0.25,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",17.25,17.75,0,0.5,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","ROCK",17.75,18.5,0,0.75,"Rock"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",18.5,20.5,0,2,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",20.5,23.25,0.5,2.75,"Ceanothus cordulatus"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","POAZ",23.25,23.75,0,0.5,"Poaceae spp"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","SYMO",23.75,24.25,0,0.5,"Symphoricarpos mollis"
"E1","E1:CH","E1:CH:S","E1:CH:S:3","2017-06-29","CECO",24.25,30,0,5.75,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","BG",30,29.5,0,0.5,"Bare ground"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","SYMO",29.5,29.25,0,0.25,"Symphoricarpos mollis"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","BG",29.25,28,0,1.25,"Bare ground"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",28,26,0.75,2,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","DWD",26,25.25,0,0.75,"Down woody debris"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",25.25,23.25,0.5,2,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","DWD",23.25,23,0.25,0.25,"Down woody debris"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",23,20.75,0.75,2.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","BG",20.75,20.5,0,0.25,"Bare ground"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",20.5,19.25,0.25,1.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","POAZ",19.25,17,0,2.25,"Poaceae spp"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",17,15,0.5,2,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","POAZ",15,14.75,0,0.25,"Poaceae spp"
"E1","E1:CN","E1:CN:M","E1:CN:M:1","2017-06-28","CECO",14.75,0,0.75,14.75,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","CECO",30,26.5,1,3.5,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","ARPA",26.5,26,0.5,0.5,"Arctostaphylos patula"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","BG",26,25.25,0,0.75,"Bare ground"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","CECO",25.25,22.25,0.75,3,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","BG",22.25,22,0,0.25,"Bare ground"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","CECO",22,11.75,0.75,10.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","ARPA",11.75,11.5,0.75,0.25,"Arctostaphylos patula"
"E1","E1:CN","E1:CN:M","E1:CN:M:2","2017-06-28","CECO",11.5,6.75,1,4.75,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","CECO",30,21.75,1,8.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","POAZ",21.75,20.75,0,1,"Poaceae spp"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","CECO",20.75,13.5,1,7.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","POAZ",13.5,13,0,0.5,"Poaceae spp"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","CECO",13,9.5,0.75,3.5,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","POAZ",9.5,3,0,6.5,"Poaceae spp"
"E1","E1:CN","E1:CN:M","E1:CN:M:3","2017-06-28","CECO",3,0,0.75,3,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","CECO",30,15.25,1,14.75,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","BG",15.25,14.5,0,0.75,"Bare ground"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","CECO",14.5,3.25,0.5,11.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","BG",3.25,2.75,0,0.5,"Bare ground"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","DWD",2.75,2.5,0.25,0.25,"Down woody debris"
"E1","E1:CN","E1:CN:N","E1:CN:N:1","2017-06-28","CECO",2.5,0,0.25,2.5,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","CECO",30,28.5,0.25,1.5,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","BG",28.5,27.75,0,0.75,"Bare ground"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","SALIX",27.75,26.5,1,1.25,"Salix spp"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","POAZ",26.5,24.75,0,1.75,"Poaceae spp"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","CECO",24.75,21.5,0.5,3.25,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","BG",21.5,19.75,0,1.75,"Bare ground"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","CECO",19.75,9,0.75,10.75,"Ceanothus cordulatus"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","ARPA",9,8.25,1,0.75,"Arctostaphylos patula"
"E1","E1:CN","E1:CN:N","E1:CN:N:2","2017-06-28","CECO",8.25,6.25,1,2,"Ceanothus cordulatus"
