"","time","treatment","planting","followup","block","plot","transect","patch_id","cover_type","avg_height_cm","cover_length","fire_type"
"49","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00049","shrub",25,0.25,"high"
"50","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00050","bare",0,1.5,"none"
"51","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00051","fuel",20,1.25,"low"
"52","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00052","forb",50,0.5,"low"
"53","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00053","shrub",25,0.5,"high"
"54","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00054","forb",25,0.75,"low"
"55","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00055","shrub",200,3.75,"high"
"56","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00056","shrub",0,1,"low"
"57","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00057","bare",0,1.75,"none"
"58","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00058","fuel",0,1.5,"low"
"59","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00059","grass",0,0.75,"low"
"60","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00060","bare",0,1.25,"none"
"61","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00061","shrub",0,0.5,"low"
"62","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00062","bare",0,2,"none"
"63","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00063","shrub",0,2.5,"low"
"64","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00064","fuel",0,1.5,"low"
"65","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00065","bare",0,3.25,"none"
"66","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00066","shrub",0,0.5,"low"
"67","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00067","bare",0,1,"none"
"68","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00068","shrub",0,0.5,"low"
"69","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00069","bare",0,1,"none"
"70","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00070","grass",0,1,"low"
"71","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00071","bare",0,4,"none"
"72","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00072","shrub",25,0.75,"high"
"73","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00073","grass",25,5.25,"low"
"74","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00074","fuel",0,1,"low"
"75","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00075","grass",25,5,"low"
"76","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00076","fuel",0,0.75,"low"
"77","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00077","bare",0,0.75,"none"
"78","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00078","fuel",0,0.75,"low"
"79","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00079","bare",0,2.75,"none"
"80","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00080","forb",25,2.5,"low"
"81","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00081","bare",0,1.75,"none"
"82","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00082","forb",25,0.5,"low"
"83","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00083","bare",0,9,"none"
"84","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00084","shrub",0,0.5,"low"
"85","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00085","fuel",25,1.5,"low"
"86","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00086","forb",25,3.25,"low"
"87","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00087","bare",0,0.75,"none"
"88","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00088","shrub",25,0.75,"high"
"89","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00089","bare",0,0.25,"none"
"90","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00090","fuel",0,0.25,"low"
"91","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00091","bare",0,0.75,"none"
"92","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00092","shrub",50,0.25,"high"
"93","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00093","bare",0,0.25,"none"
"94","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00094","fuel",0,0.5,"low"
"95","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00095","shrub",50,2,"high"
"96","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00096","bare",0,0.25,"none"
"97","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00097","shrub",25,1.25,"high"
"98","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00098","bare",0,0.75,"none"
"99","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00099","shrub",25,0.5,"high"
"100","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00100","bare",0,1,"none"
"101","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00101","fuel",0,0.25,"low"
"102","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00102","bare",0,1.25,"none"
"103","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00103","shrub",0,0.5,"low"
"104","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00104","fuel",0,0.75,"low"
"105","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00105","bare",0,1,"none"
"106","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00106","shrub",0,1.5,"low"
"107","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00107","bare",0,6.25,"none"
"108","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00108","shrub",0,0.5,"low"
"109","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00109","bare",0,7,"none"
"110","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00110","grass",25,0.5,"low"
"111","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00111","forb",25,0.25,"low"
"112","post","CG","C","G","E1","E1:CG","E1:CG:S","post:E1:CG:S:00112","fuel",0,0.75,"low"
"113","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00124","shrub",50,1.5,"high"
"114","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00125","bare",0,6.25,"none"
"115","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00126","forb",0,0.75,"low"
"116","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00127","fuel",0,2.75,"low"
"117","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00128","shrub",0,0.5,"low"
"118","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00129","fuel",50,2,"low"
"119","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00130","shrub",50,0.75,"high"
"120","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00131","fuel",50,2.25,"low"
"121","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00132","shrub",25,0.75,"high"
"122","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00133","bare",0,2.25,"none"
"123","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00134","fuel",0,0.5,"low"
"124","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00135","bare",0,2.25,"none"
"125","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00136","forb",25,3.5,"low"
"126","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00137","fuel",0,0.75,"low"
"127","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00138","forb",25,0.25,"low"
"128","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00139","fuel",0,1.25,"low"
"129","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00140","shrub",25,0.25,"high"
"130","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00141","fuel",0,0.25,"low"
"131","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00142","shrub",0,0.25,"low"
"132","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00143","fuel",0,1.25,"low"
"133","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00144","forb",25,0.25,"low"
"134","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00145","fuel",0,1.5,"low"
"135","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00146","shrub",0,0.25,"low"
"136","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00147","bare",0,0.5,"none"
"137","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00148","shrub",0,2.5,"low"
"138","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00149","fuel",0,1,"low"
"139","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00150","shrub",25,1.5,"high"
"140","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00151","bare",0,0.75,"none"
"141","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00152","fuel",0,0.25,"low"
"142","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00153","bare",0,0.5,"none"
"143","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00154","fuel",0,0.25,"low"
"144","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00155","bare",0,1.25,"none"
"145","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00156","fuel",0,1.25,"low"
"146","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00157","shrub",25,0.75,"high"
"147","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00158","fuel",0,0.5,"low"
"148","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00159","bare",0,3,"none"
"149","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00160","shrub",0,1,"low"
"150","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00161","bare",0,1.75,"none"
"151","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00162","shrub",0,0.75,"low"
"152","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00163","fuel",0,0.25,"low"
"153","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00164","shrub",25,0.75,"high"
"154","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00165","fuel",0,0.75,"low"
"155","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00166","shrub",25,1.25,"high"
"156","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00167","bare",0,1.25,"none"
"157","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00168","shrub",0,0.25,"low"
"158","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00169","fuel",0,0.75,"low"
"159","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00170","shrub",27.7777777777778,2.25,"high"
"160","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00171","bare",0,1.75,"none"
"161","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00172","fuel",0,0.75,"low"
"162","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00173","shrub",25,3.5,"high"
"163","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00174","bare",0,2.75,"none"
"164","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00175","fuel",0,0.25,"low"
"165","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00176","shrub",25,1.75,"high"
"166","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00177","bare",0,1.5,"none"
"167","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00178","shrub",25,0.5,"high"
"168","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00179","bare",0,0.75,"none"
"169","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00180","shrub",25,1,"high"
"170","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00181","bare",0,2,"none"
"171","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00182","fuel",0,3.25,"low"
"172","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00183","bare",0,3.25,"none"
"173","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00184","shrub",0,0.5,"low"
"174","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00185","fuel",0,0.75,"low"
"175","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00186","shrub",25,0.5,"high"
"176","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00187","bare",0,4.25,"none"
"177","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00188","shrub",50,1.75,"high"
"178","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00189","fuel",0,1.5,"low"
"179","post","CG","C","G","E2","E2:CG","E2:CG:M","post:E2:CG:M:00190","bare",0,0.5,"none"
"180","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00001","shrub",0,0.5,"low"
"181","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00002","bare",0,2.25,"none"
"182","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00003","shrub",0,0.5,"low"
"183","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00004","fuel",0,0.5,"low"
"184","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00005","shrub",0,0.5,"low"
"185","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00006","fuel",0,1,"low"
"186","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00007","shrub",0,1,"low"
"187","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00008","fuel",0,1.25,"low"
"188","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00009","shrub",0,0.25,"low"
"189","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00010","bare",0,2.25,"none"
"190","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00011","shrub",0,3,"low"
"191","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00012","fuel",0,4.25,"low"
"192","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00013","bare",0,2.25,"none"
"193","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00014","shrub",0,2.5,"low"
"194","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00015","bare",0,0.25,"none"
"195","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00016","fuel",0,0.25,"low"
"196","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00017","bare",0,2,"none"
"197","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00018","fuel",0,0.75,"low"
"198","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00019","shrub",25,4.75,"high"
"199","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00020","bare",0,0.25,"none"
"200","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00021","shrub",0,1,"low"
"201","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00022","bare",0,1,"none"
"202","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00023","fuel",0,0.25,"low"
"203","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00024","bare",0,1.75,"none"
"204","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00025","shrub",25,1.5,"high"
"205","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00026","fuel",0,1.5,"low"
"206","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00027","shrub",0,2.5,"low"
"207","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00028","fuel",0,0.75,"low"
"208","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00029","shrub",0,4.75,"low"
"209","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00030","fuel",0,4,"low"
"210","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00031","shrub",0,0.25,"low"
"211","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00032","fuel",0,7.5,"low"
"212","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00033","bare",0,4.5,"none"
"213","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00034","shrub",0,3,"low"
"214","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00035","bare",0,0.75,"none"
"215","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00036","shrub",25,4,"high"
"216","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00037","bare",0,1.25,"none"
"217","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00038","fuel",0,0.5,"low"
"218","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00039","bare",0,3.75,"none"
"219","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00040","shrub",25,4.75,"high"
"220","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00041","bare",0,0.25,"none"
"221","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00042","fuel",0,1.25,"low"
"222","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00043","bare",0,0.25,"none"
"223","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00044","fuel",0,1.75,"low"
"224","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00045","shrub",0,0.75,"low"
"225","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00046","bare",0,0.75,"none"
"226","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00047","shrub",0,0.25,"low"
"227","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00048","fuel",0,0.25,"low"
"228","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00049","bare",0,0.75,"none"
"229","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00050","fuel",0,0.75,"low"
"230","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00051","grass",0,0.75,"low"
"231","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00052","shrub",0,0.25,"low"
"232","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00053","fuel",0,0.25,"low"
"233","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00054","shrub",0,2,"low"
"234","post","CG","C","G","E2","E2:CG","E2:CG:N","post:E2:CG:N:00055","fuel",0,0.25,"low"
"235","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00056","shrub",76,6.25,"high"
"236","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00057","fuel",25,2,"low"
"237","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00058","bare",0,0.75,"none"
"238","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00059","forb",0,1.75,"low"
"239","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00060","shrub",25,1.25,"high"
"240","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00061","bare",0,2.5,"none"
"241","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00062","shrub",25,1.5,"high"
"242","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00063","fuel",0,0.75,"low"
"243","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00064","shrub",25,0.5,"high"
"244","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00065","fuel",0,0.25,"low"
"245","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00066","shrub",25,0.75,"high"
"246","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00067","fuel",25,0.25,"low"
"247","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00068","shrub",0,0.75,"low"
"248","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00069","fuel",50,1.25,"low"
"249","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00070","shrub",0,0.25,"low"
"250","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00071","fuel",25,1.75,"low"
"251","post","CG","C","G","E2","E2:CG","E2:CG:S","post:E2:CG:S:00072","forb",0,0.5,"low"
